Price in Rupees,Company,series,color,Full HD,HD,ScreenSize(in cm),FWVGA,Other Displays,RAM,ROM,Expandable,Battery(in mAh),Brand,Model,Main_Camera_MP,Front_Camera_MP,Main_Camera_Count,Front_Camera_Count
27999.0,Apple,iPhone,Rose Gold,0,1,11.94,0,0,3.0,32.0,128.0,3050.0,Apple,Apple,2,7,2,1
10799.0,Mi,A2,Red,1,1,15.21,0,0,3.0,32.0,128.0,3010.0,Qualcomm,AIE,0,0,3,1
15990.0,OPPO,F11,Thunder Black,1,1,16.51,0,0,6.0,64.0,256.0,4000.0,MediaTek,GHz,8,6,3,1
27999.0,Apple,iPhone,Gold,0,1,11.94,0,0,3.0,32.0,128.0,3050.0,Apple,Apple,2,7,2,1
17990.0,Vivo,Z1x,Phantom Purple,1,1,16.21,0,0,3.0,32.0,128.0,4500.0,Qualcomm,AIE,8,2,4,1
4999.0,Kult,Impulse,Black,0,1,15.21,0,0,3.0,32.0,64.0,4000.0,MTK,6739,3,0,1,0
17990.0,Vivo,Z1x,Fusion Blue,1,1,16.21,0,0,3.0,32.0,128.0,4500.0,Qualcomm,AIE,8,2,4,1
10999.0,Redmi,Note,Astro Moonlight White,1,1,16.0,0,0,4.0,64.0,256.0,4000.0,Qualcomm,675,8,3,3,1
5299.0,Redmi,7A,Matte Black,0,1,13.84,0,0,2.0,16.0,256.0,4000.0,Qualcomm,439,2,5,2,1
10999.0,Honor,20i,Midnight Black,1,1,15.77,0,0,4.0,128.0,512.0,3400.0,HiSilicon,710,4,2,4,1
15990.0,OPPO,F11,Aurora Green,1,1,16.51,0,0,6.0,64.0,256.0,4000.0,MediaTek,GHz,8,6,3,1
8999.0,Redmi,Note,Astro Moonlight White,1,1,16.0,0,0,3.0,32.0,256.0,4000.0,Qualcomm,AIE,8,3,3,1
10999.0,Honor,20i,Phantom Blue,1,1,15.77,0,0,4.0,128.0,512.0,3400.0,HiSilicon,710,4,2,4,1
7999.0,Realme,3,Dynamic Black,0,1,15.8,0,0,3.0,32.0,256.0,4230.0,MediaTek,AI,3,3,3,1
4999.0,Kult,Impulse,Blue,0,1,15.21,0,0,3.0,32.0,64.0,4000.0,MTK,6739,3,0,1,0
9999.0,Realme,3,Radiant Blue,0,1,15.8,0,0,4.0,64.0,256.0,4230.0,MediaTek,AI,3,3,3,1
7999.0,Realme,3,Radiant Blue,0,1,15.8,0,0,3.0,32.0,256.0,4230.0,MediaTek,AI,3,3,3,1
9999.0,Realme,3,Diamond Red,0,1,15.8,0,0,4.0,64.0,256.0,4230.0,MediaTek,AI,3,3,3,1
9999.0,Realme,3,Dynamic Black,0,1,15.8,0,0,4.0,64.0,256.0,4230.0,MediaTek,AI,3,3,3,1
8999.0,Realme,3,Radiant Blue,0,1,15.8,0,0,3.0,64.0,256.0,4230.0,MediaTek,AI,3,3,3,1
3899.0,Karbonn,Aura,Champagne,0,0,12.7,0,1,1.0,16.0,32.0,4000.0,Mediatek,Mediatek,5,5,2,1
4499.0,Redmi,Go,Blue,0,1,12.7,0,0,1.0,16.0,128.0,3000.0,Qualcomm,425,8,5,2,1
8999.0,Realme,3,Dynamic Black,0,1,15.8,0,0,3.0,64.0,256.0,4230.0,MediaTek,AI,3,3,3,1
10799.0,Mi,A2,Red,1,1,15.21,0,0,3.0,32.0,128.0,3010.0,Qualcomm,AIE,0,0,3,1
33999.0,Realme,X2,Lunar White,1,1,16.51,0,0,3.0,32.0,128.0,4000.0,Qualcomm,Plus,4,6,5,1
29999.0,Realme,X2,Lunar White,1,1,16.51,0,0,3.0,32.0,128.0,4000.0,Qualcomm,Plus,4,6,5,1
29999.0,Realme,X2,Neptune Blue,1,1,16.51,0,0,3.0,32.0,128.0,4000.0,Qualcomm,Plus,4,6,5,1
33999.0,Realme,X2,Neptune Blue,1,1,16.51,0,0,3.0,32.0,128.0,4000.0,Qualcomm,Plus,4,6,5,1
11990.0,Vivo,Y15,Aqua Blue,0,1,16.13,0,0,4.0,64.0,256.0,5000.0,MediaTek,P22,3,6,4,1
4999.0,Kult,Impulse,Black,0,1,15.21,0,0,3.0,32.0,64.0,4000.0,MTK,6739,3,0,1,0
11990.0,Vivo,Y15,Burgundy Red,0,1,16.13,0,0,4.0,64.0,256.0,5000.0,MediaTek,P22,3,6,4,1
7999.0,Asus,ZenFone,Black,0,1,15.9,0,0,3.0,32.0,128.0,4000.0,Qualcomm,Core,3,8,3,1
7999.0,Asus,ZenFone,Silver,0,1,15.9,0,0,3.0,32.0,128.0,4000.0,Qualcomm,Core,3,8,3,1
16999.0,Realme,X,Space Blue,1,1,16.59,0,0,3.0,32.0,128.0,3765.0,Qualcomm,AIE,8,6,3,1
19999.0,Realme,X,Space Blue,1,1,16.59,0,0,3.0,32.0,128.0,3765.0,Qualcomm,AIE,8,6,3,1
19999.0,Realme,X,Polar White,1,1,16.59,0,0,3.0,32.0,128.0,3765.0,Qualcomm,AIE,8,6,3,1
4499.0,Redmi,Go,Black,0,1,12.7,0,0,1.0,16.0,128.0,3000.0,Qualcomm,425,8,5,2,1
